Rank,State,Index,Grocery,Housing,Utilities,Transportation,Health,Misc.
1,Mississippi,83.3,90.9,66,90.5,83.5,92.2,90.9
2,Kansas,87.1,92.8,71,98.8,95.3,100.9,90.6
3,Oklahoma,88.6,94.2,75,94.2,93.2,96.5,93.4
4,Alabama,88.8,97.6,70.3,100.4,91.9,91,95.7
5,Arkansas,89.1,91.6,76.4,91.2,89.6,85.5,98
6,Georgia,89.4,96.6,73.9,90.6,94.1,96,96.5
7,Tennessee,89.6,93.2,81.4,91.5,88.2,90.3,94.5
8,Missouri,90.1,95.8,78.2,95.7,92.1,95.5,94.7
9,New Mexico,90.8,95.5,83.8,90.2,95.2,98.2,92.5
10,Indiana,91,92.4,78.8,97.1,98.5,93.7,96.2
11,Iowa,91.1,97.6,77.4,95.1,99,101.9,98.5
12,Michigan,91.4,92.9,78.5,100.3,101.9,97.1,95.4
13,Ohio,92,0.5,77.7,92,98.3,97.3,98.2
14,Texas,92.6,91,84.8,102.7,91.2,95.1,96.7
15,West Virginia,92.9,98.4,78.6,89,95.4,88.1,103
16,Louisiana,93.4,96.4,87.6,86.4,93.9,98.6,97.8
17,Nebraska,93.9,98.7,86.6,88.3,99.1,99.4,97.1
18,Kentucky,93.9,91.6,81.1,102.7,100.3,84.2,102.4
19,Idaho,94.8,92.5,95.4,82.9,106.9,95.5,95.2
20,Illinois,95.4,98,87.5,95.5,106.7,99.2,97.3
21,Wyoming,95.5,102.9,83.5,85.8,96.3,98.1,104.3
22,South Carolina,96.4,103.1,84.6,108.7,95,95.7,100.4
23,North Carolina,96.5,97.9,89.3,97.8,95.4,110.5,99.7
24,Wisconsin,97,100.4,90,97.8,95.4,110.5,99.7
25,North Dakota,97.6,101.9,94.1,91,104.8,114.2,96.5
26,Utah,98.6,96.9,99.4,93.2,105.2,91.9,99.1
27,South Dakota,99,100.5,115,90.1,90.8,95.9,93.2
28,Montana,100.3,102.2,106.6,87.6,95.5,99.1,99.3
29,Florida,101,105.8,99.8,109,100.9,97.9,98.3
30,Minnesota,101.2,104,91,96.9,100.5,111,108.2
31,Virginia,101.3,96.4,110.5,97.5,90.8,100.1,99.7
32,Arizona,102.4,100.7,106.9,104,100.8,97.7,100.2
33,Pennsylvania,103,107.2,99.4,110.2,109.3,95.9,101.6
34,Colorado,105.4,100.8,116.6,87,106.2,98.3,104.1
35,Delaware,108,114.5,105.1,96,113.7,103,110
36,Nevada,108.1,108.5,120.2,89.5,117.8,102.4,101.6
37,New Hampshire,109.5,100,111.5,113,96,115.1,113.4
38,Washington,112.7,109.2,119.5,91,120.3,121.2,111.3
39,New Jersey,115.5,108.1,139.9,102.7,106.1,97.7,107.4
40,Maine,116.5,101.5,141.7,104.1,104.6,113.3,109.3
41,Vermont,116.8,114.1,138.3,118.4,114.9,98.9,103.2
42,Rhode Island,119.2,109.3,127.3,126.9,107.7,106.2,119.3
43,Connecticut,122.3,104.7,139.6,132.2,110.4,111.9,117.5
44,Maryland,125.5,110.1,173.2,105.3,110.6,84.1,109.2
45,Alaska,126.3,132.6,127.6,155.3,112.9,155.6,114.5
46,Oregon,131.9,109.8,178.9,89.4,125,116.3,118.6
47,Massachusetts,132.5,117,177.2,108.5,109.5,122.4,116.7
48,California,138.9,111.9,196.3,127.8,136.6,110.4,111.6
49,New York,145.9,119.3,233.9,98.6,109.8,101.9,114.4
50,District of Columbia,156.5,113.8,263.6,108.7,104.1,92.2,123.1
51,Hawaii,193.4,162.4,325,184.6,138.9,111.6,128.4
,,,,,,,,
,https://meric.mo.gov/data/cost-living-data-series,,,,,,,
