State,Percent of 25-44 who hold Bachelors' 2019
United States,37.1
Alabama,28.6
Alaska,29.6
Arizona,30
Arkansas,26.4
California,38.2
Colorado,45.1
Connecticut,44.6
Delaware,35.1
District of Columbia,70.4
Florida,32.3
Georgia,35
Hawaii,35.6
Idaho,30.1
Illinois,42.4
Indiana,31.2
Iowa,36
Kansas,37.3
Kentucky,29.5
Louisiana,28.1
Maine,36.6
Maryland,44.2
Massachusetts,52.9
Michigan,34.4
Minnesota,43.5
Mississippi,22.7
Missouri,35.5
Montana,38.1
Nebraska,40.6
Nevada,25.4
New Hampshire,42.4
New Jersey,48.1
New Mexico,25.5
New York,45.6
North Carolina,36
North Dakota,36.6
Ohio,34.4
Oklahoma,27.3
Oregon,37.5
Pennsylvania,39.5
Rhode Island,40.5
South Carolina,32
South Dakota,33.8
Tennessee,33
Texas,33.1
Utah,36.5
Vermont,43.8
Virginia,43.5
Washington,39.9
West Virginia,26
Wisconsin,37.3
Wyoming,29.8
