State,Prevalance of Binge Drinking Among US Adults
Alabama,12.2
Alaska,20
Arizona,15
Arkansas,15.2
California,16.7
Colorado,18.1
Connecticut,18.3
Delaware,15.8
District of Columbia,24.4
Florida,17.2
Georgia,15.8
Hawaii,19.8
Idaho,14.8
Illinois,20.8
Indiana,16.6
Iowa,21.3
Kansas,16.5
Kentucky,16.1
Louisiana,18
Maine,20.2
Maryland,14.7
Massachusetts,18.7
Michigan,19.8
Minnesota,20.5
Mississippi,12.5
Missouri,17.7
Montana,21.3
Nebraska,20.4
Nevada,14.5
New Hampshire,17.8
New Jersey,17
New Mexico,13.6
New York,17.6
North Carolina,14.6
North Dakota,24.9
Ohio,19.5
Oklahoma,13.6
Oregon,17.7
Pennsylvania,18.5
Rhode Island,17
South Carolina,16.3
South Dakota,17.9
Tennessee,10.9
Texas,16.1
Utah,11.4
Vermont,19
Virginia,17
Washington,16.6
West Virginia,11.8
Wisconsin,24.4
Wyoming,16.9
,
https://www.cdc.gov/alcohol/data-stats.htm,
