State,Marriage Rate 2019,Divorce Rate 2019
Alabama,6.7,3.6
Alaska,6.5,3.6
Arizona,5.3,2.9
Arkansas,8.4,4
California,5.7,
Colorado,7.3,3.3
Connecticut,5,2.7
Delaware,5,2.9
District of Columbia,7.8,2.4
Florida,7.1,3.5
Georgia,6,2.3
Hawaii,14.2,
Idaho,7.4,3.9
Illinois,5.2,1.3
Indiana,6.2,
Iowa,5.4,2.3
Kansas,5.3,2.3
Kentucky,6.3,3.4
Louisiana,5.1,2.4
Maine,7.1,3
Maryland,5.6,2.7
Massachusetts,5,1.5
Michigan,5.2,2.3
Minnesota,5.1,
Mississippi,6,2.6
Missouri,6,2.9
Montana,7.9,3
Nebraska,5.5,2.7
Nevada,25.9,4.2
New Hampshire,6.6,3.1
New Jersey,5.2,2.5
New Mexico,6,
New York,7.2,2.9
North Carolina,6.2,3.1
North Dakota,5.4,2.5
Ohio,5.3,2.8
Oklahoma,6.3,3.9
Oregon,6,3.2
Pennsylvania,5.4,2.6
Rhode Island,6.1,2.7
South Carolina,6.3,2.6
South Dakota,6.1,2.6
Tennessee,7.5,3.5
Texas,4.9,2.1
Utah,8.1,3.5
Vermont,7.7,2.8
Virginia,6.1,2.9
Washington,5.7,2.8
West Virginia,6,3.6
Wisconsin,5,2.3
Wyoming,7,3.8
,,
,,
"Source: CDC/NCHS, National Vital Statistics System.",,
