Table S-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bachelor's Degree Holders among Individuals 25–44 Years Old, by state: 2005–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bachelor’s degree holders 25–44 years old,,,,,,,,,,,,,,,,Individuals 25–44 years old,,,,,,,,,,,,,,,,Bachelor's degree holders/individuals 25–44 years old (Percent),,,,,,,,,,,,,,
State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,"24,630,555","24,791,935","25,148,075","25,340,695","25,948,790","25,879,000","26,405,400","27,104,110","27,729,645","28,487,795","29,189,105","30,013,410","31,016,590","31,954,095","32,785,135",,"83,791,910","83,658,364","83,519,695","83,398,876","83,197,208","83,163,507","83,377,275","83,731,930","84,192,745","84,742,483","85,349,230","86,043,189","86,847,172","87,610,861","88,393,014",,29.4,29.6,30.1,30.4,31.2,31.1,31.7,32.4,32.9,33.6,34.2,34.9,35.7,36.5,37.1
Alabama,"288,815","279,105","290,290","296,950","303,640","293,020","302,530","321,275","306,775","315,335","326,725","334,875","334,210","344,525","354,540",,"1,228,586","1,233,767","1,232,608","1,231,410","1,232,200","1,228,719","1,225,177","1,225,301","1,226,950","1,228,634","1,229,894","1,230,234","1,231,962","1,235,156","1,240,535",,23.5,22.6,23.6,24.1,24.6,23.8,24.7,26.2,25.0,25.7,26.6,27.2,27.1,27.9,28.6
Alaska,"45,315","49,715","48,100","49,345","45,860","54,015","54,020","55,615","57,845","56,020","60,490","61,695","59,120","62,765","63,145",,"188,753","188,470","188,612","189,673","191,023","197,484","200,160","203,538","206,940","207,935","209,364","212,764","213,484","213,174","213,353",,24.0,26.4,25.5,26.0,24.0,27.4,27.0,27.3,28.0,26.9,28.9,29.0,27.7,29.4,29.6
Arizona,"408,520","439,550","435,695","438,555","458,075","425,040","447,270","469,010","469,440","480,890","483,815","508,275","544,715","556,575","571,695",,"1,620,018","1,664,223","1,682,760","1,690,369","1,685,082","1,681,042","1,690,623","1,704,165","1,719,573","1,741,550","1,765,511","1,795,527","1,827,995","1,863,583","1,903,120",,25.2,26.4,25.9,25.9,27.2,25.3,26.5,27.5,27.3,27.6,27.4,28.3,29.8,29.9,30.0
Arkansas,"152,225","154,705","151,405","156,110","161,440","161,045","171,720","177,475","175,985","180,185","185,215","189,255","202,655","196,930","202,205",,"741,013","747,504","747,162","745,354","743,283","743,027","745,419","747,311","748,724","750,150","753,383","757,147","761,587","764,254","767,131",,20.5,20.7,20.3,20.9,21.7,21.7,23.0,23.7,23.5,24.0,24.6,25.0,26.6,25.8,26.4
California,"3,112,605","3,139,600","3,171,265","3,166,850","3,270,705","3,276,535","3,325,565","3,441,800","3,481,290","3,645,960","3,786,335","3,921,620","4,091,870","4,164,535","4,330,535",,"10,619,001","10,578,738","10,519,395","10,505,976","10,493,897","10,508,797","10,563,533","10,636,008","10,730,918","10,844,896","10,961,901","11,088,335","11,197,559","11,274,711","11,335,052",,29.3,29.7,30.1,30.1,31.2,31.2,31.5,32.4,32.4,33.6,34.5,35.4,36.5,36.9,38.2
Colorado,"512,180","502,930","518,480","524,215","537,205","540,440","559,125","569,570","586,135","612,010","644,010","653,905","704,320","728,975","771,390",,"1,372,686","1,380,451","1,391,221","1,404,254","1,415,641","1,430,726","1,452,344","1,475,571","1,499,651","1,524,815","1,562,535","1,598,643","1,634,622","1,675,850","1,711,425",,37.3,36.4,37.3,37.3,37.9,37.8,38.5,38.6,39.1,40.1,41.2,40.9,43.1,43.5,45.1
Connecticut,"362,930","353,075","356,700","364,875","354,995","358,585","357,970","367,495","368,910","371,275","374,505","376,430","373,885","387,885","390,425",,"959,888","944,217","930,413","923,555","911,836","902,627","894,883","889,262","882,963","875,557","867,238","860,875","861,822","869,012","875,170",,37.8,37.4,38.3,39.5,38.9,39.7,40.0,41.3,41.8,42.4,43.2,43.7,43.4,44.6,44.6
Delaware,"71,090","73,850","65,105","68,075","73,655","69,830","73,415","73,590","79,645","80,495","79,970","78,485","76,960","76,310","85,110",,"232,763","232,516","231,339","230,357","228,638","227,384","227,311","227,469","229,950","232,784","235,059","236,076","237,424","239,609","242,181",,30.5,31.8,28.1,29.6,32.2,30.7,32.3,32.4,34.6,34.6,34.0,33.2,32.4,31.8,35.1
District of Columbia,"96,815","104,725","108,660","111,030","115,960","127,235","138,825","143,880","156,455","162,040","169,130","169,630","181,020","190,195","192,555",,"185,619","187,870","190,131","192,899","199,093","208,088","219,040","229,579","239,403","245,996","253,147","259,823","265,471","269,447","273,510",,52.2,55.7,57.2,57.6,58.2,61.1,63.4,62.7,65.4,65.9,66.8,65.3,68.2,70.6,70.4
Florida,"1,212,200","1,261,960","1,285,285","1,259,505","1,270,000","1,253,795","1,291,830","1,345,635","1,377,115","1,409,820","1,509,960","1,542,505","1,636,425","1,723,665","1,745,405",,"4,759,595","4,804,621","4,794,919","4,764,109","4,728,842","4,726,467","4,752,143","4,807,457","4,867,648","4,950,029","5,053,017","5,166,361","5,263,303","5,337,990","5,399,953",,25.5,26.3,26.8,26.4,26.9,26.5,27.2,28.0,28.3,28.5,29.9,29.9,31.1,32.3,32.3
Georgia,"820,695","788,910","815,245","825,555","844,470","808,440","829,700","833,060","842,380","858,275","887,900","914,050","936,415","967,980","1,005,425",,"2,685,792","2,727,666","2,747,437","2,758,599","2,750,052","2,732,614","2,730,710","2,733,849","2,734,179","2,744,751","2,761,220","2,786,464","2,813,474","2,841,654","2,874,215",,30.6,28.9,29.7,29.9,30.7,29.6,30.4,30.5,30.8,31.3,32.2,32.8,33.3,34.1,35.0
Hawaii,"95,030","108,310","104,925","105,510","111,895","109,170","106,725","114,040","126,625","123,990","129,455","127,000","130,845","135,430","135,965",,"355,213","358,311","355,570","358,796","360,092","362,478","366,528","372,449","377,408","379,054","381,825","384,982","384,212","383,261","381,798",,26.8,30.2,29.5,29.4,31.1,30.1,29.1,30.6,33.6,32.7,33.9,33.0,34.1,35.3,35.6
Idaho,"89,960","94,110","102,125","98,870","98,195","102,010","106,170","104,725","111,820","108,245","115,155","125,615","123,195","131,995","139,400",,"374,779","383,267","391,280","396,766","399,670","400,960","403,286","405,008","408,695","413,775","419,128","428,353","440,068","451,751","463,662",,24.0,24.6,26.1,24.9,24.6,25.4,26.3,25.9,27.4,26.2,27.5,29.3,28.0,29.2,30.1
Illinois,"1,216,935","1,207,920","1,225,025","1,246,880","1,264,185","1,256,125","1,280,115","1,297,660","1,306,450","1,340,980","1,334,310","1,373,560","1,364,145","1,410,730","1,441,205",,"3,595,524","3,572,420","3,552,188","3,537,433","3,517,245","3,500,021","3,491,412","3,480,981","3,477,581","3,463,903","3,443,469","3,423,212","3,411,501","3,401,999","3,395,231",,33.8,33.8,34.5,35.2,35.9,35.9,36.7,37.3,37.6,38.7,38.7,40.1,40.0,41.5,42.4
Indiana,"408,105","421,400","431,560","442,580","440,160","438,225","448,595","458,180","455,340","480,370","482,595","503,575","526,390","535,790","536,670",,"1,711,914","1,705,535","1,699,363","1,690,585","1,676,552","1,667,735","1,664,408","1,660,195","1,664,672","1,667,288","1,666,747","1,670,593","1,683,439","1,700,768","1,719,646",,23.8,24.7,25.4,26.2,26.3,26.3,27.0,27.6,27.4,28.8,29.0,30.1,31.3,31.5,31.2
Iowa,"221,495","219,910","225,940","227,350","228,595","229,770","238,650","245,275","243,005","261,785","255,250","266,910","270,365","274,935","282,075",,"753,008","747,836","747,886","746,335","745,305","747,794","749,668","748,778","751,404","754,619","757,384","761,295","768,987","776,477","783,365",,29.4,29.4,30.2,30.5,30.7,30.7,31.8,32.8,32.3,34.7,33.7,35.1,35.2,35.4,36.0
Kansas,"224,945","228,390","230,050","237,395","234,605","247,320","243,650","245,280","249,700","257,970","258,970","261,800","272,825","275,865","277,340",,"715,568","713,707","714,627","717,210","720,316","725,604","726,063","728,876","729,930","730,792","732,725","733,673","735,666","740,446","743,951",,31.4,32.0,32.2,33.1,32.6,34.1,33.6,33.7,34.2,35.3,35.3,35.7,37.1,37.3,37.3
Kentucky,"256,210","265,170","268,165","268,370","287,620","277,255","279,375","289,325","299,445","297,590","307,740","310,640","317,905","330,170","336,365",,"1,163,875","1,162,541","1,160,702","1,152,941","1,147,693","1,142,930","1,138,563","1,133,761","1,131,235","1,127,893","1,127,614","1,128,689","1,132,183","1,135,035","1,138,333",,22.0,22.8,23.1,23.3,25.1,24.3,24.5,25.5,26.5,26.4,27.3,27.5,28.1,29.1,29.5
Louisiana,"267,430","250,100","242,865","253,510","285,090","282,390","283,640","300,230","310,520","323,175","323,465","324,860","334,760","336,235","350,875",,"1,237,958","1,152,042","1,162,238","1,169,750","1,181,653","1,197,065","1,206,298","1,214,328","1,223,468","1,233,169","1,243,467","1,252,176","1,251,248","1,250,023","1,248,081",,21.6,21.7,20.9,21.7,24.1,23.6,23.5,24.7,25.4,26.2,26.0,25.9,26.8,26.9,28.1
Maine,"85,985","90,375","95,435","86,560","91,690","89,450","96,290","87,590","93,755","98,610","101,070","105,165","108,625","112,950","115,885",,"343,558","337,692","332,401","326,952","320,549","314,778","311,968","309,088","307,858","307,991","306,585","307,120","309,464","312,746","316,883",,25.0,26.8,28.7,26.5,28.6,28.4,30.9,28.3,30.5,32.0,33.0,34.2,35.1,36.1,36.6
